DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 21,19410406,    0,     ,
 21,19410407,    0,     ,
 21,19410408,    0,     ,
 21,19410409,    0,     ,
 21,19410410,    0,     ,
 21,19410411,    0,     ,
 21,19410412,    0,     ,
 21,19410413,    0,     ,
 21,19410414,   32,     ,
 21,19410415,   10,     ,
 21,19410416,    6,     ,
 21,19410417,    0,     ,
 21,19410418,    0,     ,
 21,19410419,   51,     ,
 21,19410420,   39,     ,
 21,19410421,   10,     ,
 21,19410422,    0,     ,
 21,19410423,    0,     ,
 21,19410424,   36,     ,
 21,19410425,    0,     ,
 21,19410426,    0,     ,
 21,19410427,    0,     ,
 21,19410428,    0,     ,
 21,19410429,    3,     ,
 21,19410430,    0,     ,
 21,19410501,    0,     ,
 21,19410502,   10,     ,
 21,19410503,    0,     ,
 21,19410504,    0,     ,
 21,19410505,    0,     ,
 21,19410506,    6,     ,
 21,19410507,    0,     ,
 21,19410508,    0,     ,
 21,19410509,    0,     ,
 21,19410510,    0,     ,
 21,19410511,    0,     ,
 21,19410512,    0,     ,
 21,19410513,    0,     ,
 21,19410514,    0,     ,
 21,19410515,    0,     ,
 21,19410516,    0,     ,
 21,19410517,    0,     ,
 21,19410518,    0,     ,
 21,19410519,   47,     ,
 21,19410520,   43,     ,
 21,19410521,    0,     ,
 21,19410522,   23,     ,
 21,19410523,   20,     ,
 21,19410524,   57,     ,
 21,19410525,    0,     ,
 21,19410526,   32,     ,
 21,19410527,   48,     ,
 21,19410528,   50,     ,
 21,19410529,    0,     ,
 21,19410530,   29,     ,
 21,19410531,    0,     ,
 21,19410601,    0,     ,
 21,19410602,    0,     ,
 21,19410603,    0,     ,
 21,19410604,    0,     ,
 21,19410605,    0,     ,
 21,19410606,    0,     ,
 21,19410607,    0,     ,
 21,19410608,    0,     ,
 21,19410609,    0,     ,
 21,19410610,    0,     ,
 21,19410611,    0,     ,
 21,19410612,    0,     ,
 21,19410613,    0,     ,
 21,19410614,    0,     ,
 21,19410615,   30,     ,
 21,19410616,    6,     ,
 21,19410617,    0,     ,
 21,19410618,    0,     ,
 21,19410619,    0,     ,
 21,19410620,    0,     ,
 21,19410621,    0,     ,
 21,19410622,    0,     ,
 21,19410623,    0,     ,
 21,19410624,    0,     ,
 21,19410625,    0,     ,
 21,19410626,   65,     ,
 21,19410627,    0,     ,
 21,19410628,    0,     ,
 21,19410629,    0,     ,
 21,19410630,    0,     ,
 21,19410701,    0,     ,
 21,19410702,   20,     ,
 21,19410703,    2,     ,
 21,19410704,    0,     ,
 21,19410705,    0,     ,
 21,19410706,    0,     ,
 21,19410707,    0,     ,
 21,19410708,    0,     ,
 21,19410709,    0,     ,
 21,19410710,    0,     ,
 21,19410711,    0,     ,
 21,19410712,    0,     ,
 21,19410713,    0,     ,
 21,19410714,    0,     ,
 21,19410715,   50,     ,
 21,19410716,    0,     ,
 21,19410717,    0,     ,
 21,19410718,    0,     ,
 21,19410719,    0,     ,
 21,19410720,   25,     ,
 21,19410721,    0,     ,
 21,19410722,    0,     ,
 21,19410723,    0,     ,
 21,19410724,    0,     ,
 21,19410725,    0,     ,
 21,19410726,    0,     ,
 21,19410727,    0,     ,
 21,19410728,    5,     ,
 21,19410729,    0,     ,
 21,19410730,  320,     ,
 21,19410731,  120,     ,
 21,19410801,   80,     ,
 21,19410802,    0,     ,
 21,19410803,    8,     ,
 21,19410804,   18,     ,
 21,19410805,   95,     ,
 21,19410806,    0,     ,
 21,19410807,    0,     ,
 21,19410808,  120,     ,
 21,19410809,   30,     ,
 21,19410810,    0,     ,
 21,19410811,   50,     ,
 21,19410812,  128,     ,
 21,19410813,   55,     ,
 21,19410814,  145,     ,
 21,19410815,    0,     ,
 21,19410816,   43,     ,
 21,19410817,  177,     ,
 21,19410818,   12,     ,
 21,19410819,   21,     ,
 21,19410820,   12,     ,
 21,19410821,    0,     ,
 21,19410822,    0,     ,
 21,19410823,    1,     ,
 21,19410824,   26,     ,
 21,19410825,   45,     ,
 21,19410826,  120,     ,
 21,19410827,   43,     ,
 21,19410828,   17,     ,
 21,19410829,   78,     ,
 21,19410830,    3,     ,
 21,19410831,    1,     ,
 21,19410901,    0,     ,
 21,19410902,    0,     ,
 21,19410903,    0,     ,
 21,19410904,    0,     ,
 21,19410905,    0,     ,
 21,19410906,    0,     ,
 21,19410907,    0,     ,
 21,19410908,    0,     ,
 21,19410909,    0,     ,
 21,19410910,    0,     ,
 21,19410911,   41,     ,
 21,19410912,   64,     ,
 21,19410913,   40,     ,
 21,19410914,   31,     ,
 21,19410915,    0,     ,
 21,19410916,   50,     ,
 21,19410917,   34,     ,
 21,19410918,    0,     ,
 21,19410919,   13,     ,
 21,19410920,    0,     ,
 21,19410921,    0,     ,
 21,19410922,    0,     ,
 21,19410923,    3,     ,
 21,19410924,    0,     ,
 21,19410925,    5,     ,
 21,19410926,    0,     ,
 21,19410927,    0,     ,
 21,19410928,    0,     ,
 21,19410929,    0,     ,
 21,19410930,    0,     ,
 21,19411001,    0,     ,
 21,19411002,   47,     ,
 21,19411003,    0,     ,
 21,19411004,    0,     ,
 21,19411005,    0,     ,
 21,19411006,    0,     ,
 21,19411007,    0,     ,
 21,19411008,   11,     ,
 21,19411009,    0,     ,
 21,19411010,   17,     ,
 21,19411011,    0,     ,
 21,19411012,    0,     ,
 21,19411013,   35,     ,
 21,19411014,    0,     ,
 21,19411015,   57,     ,
 21,19411016,    0,     ,
 21,19411017,   78,     ,
 21,19411018,    2,     ,
 21,19411019,   96,     ,
 21,19411020,   47,     ,
 21,19411021,   23,     ,
 21,19411022,   74,     ,
 21,19411023,   25,     ,
